Extension;Load;Strain 1
0;22.22;0
0.01;39.08;0.006
0.03;70.96;0.018
0.05;100.04;0.029
0.07;109.28;0.032
0.08;109.67;0.033
0.1;112.45;0.034
0.12;133.42;0.041
0.13;157.13;0.05
0.15;181.75;0.056
0.17;206.97;0.065
0.18;232.22;0.075
0.2;257.11;0.084
0.22;282.48;0.093
0.23;307.35;0.102
0.25;331.65;0.111
0.27;356.59;0.12
0.28;381.04;0.129
0.3;405.26;0.137
0.32;430.67;0.146
0.33;454.37;0.155
0.35;477.94;0.164
0.37;502.15;0.173
0.38;526.38;0.182
0.4;550.05;0.191
0.42;573.77;0.199
0.43;597.5;0.208
0.45;620.86;0.217
0.47;644.25;0.226
0.48;667.02;0.234
0.5;689.06;0.243
0.52;711.66;0.251
0.53;734.07;0.26
0.55;757.06;0.268
0.57;778.02;0.277
0.58;799.3;0.285
0.6;821.61;0.294
0.62;842.29;0.302
0.63;862.5;0.31
0.65;882.69;0.318
0.67;902.18;0.326
0.68;920.14;0.333
0.7;937.24;0.34
0.72;954.5;0.347
0.73;971.38;0.354
0.75;987.35;0.36
0.77;1003.18;0.367
0.78;1018.45;0.373
0.8;1033.4;0.379
0.82;1047.54;0.385
0.83;1060.87;0.391
0.85;1074.23;0.397
0.87;1088.93;0.403
0.88;1102.84;0.409
0.9;1116.38;0.416
0.92;1129.47;0.421
0.93;1142.9;0.427
0.95;1155.66;0.433
0.97;1169.03;0.439
0.98;1181.2;0.445
1;1194.18;0.451
1.02;1206.81;0.457
1.03;1219.72;0.463
1.05;1232.9;0.469
1.07;1245.35;0.475
1.08;1257.84;0.481
1.1;1270.71;0.488
1.12;1283.45;0.494
1.13;1295.54;0.5
1.15;1308.12;0.506
1.17;1320.14;0.512
1.18;1332.88;0.519
1.2;1346.47;0.525
1.22;1358.79;0.531
1.23;1371.15;0.537
1.25;1382.75;0.544
1.27;1395.5;0.55
1.28;1408.47;0.557
1.3;1420.49;0.563
1.32;1433.17;0.57
1.33;1444.75;0.576
1.35;1457.13;0.582
1.37;1469.7;0.589
1.38;1482.4;0.596
1.4;1494.49;0.602
1.42;1506.85;0.609
1.43;1519.63;0.616
1.45;1531.94;0.622
1.47;1544.17;0.629
1.48;1556.1;0.635
1.5;1569.23;0.642
1.52;1581.66;0.649
1.53;1594.75;0.656
1.55;1607.55;0.663
1.57;1620.07;0.67
1.58;1631.65;0.676
1.6;1644.5;0.683
1.62;1657.21;0.69
1.63;1669.66;0.697
1.65;1681.52;0.703
1.67;1694.4;0.71
1.68;1707.12;0.717
1.7;1720.09;0.725
1.72;1732.49;0.732
1.73;1744.83;0.739
1.75;1756.87;0.746
1.77;1769.48;0.753
1.78;1781.93;0.76
1.8;1793.82;0.767
1.82;1806.44;0.774
1.83;1818.77;0.781
1.85;1831.66;0.788
1.87;1843.93;0.795
1.88;1856.57;0.802
1.9;1868.84;0.81
1.92;1881.5;0.817
1.93;1892.9;0.823
